Interface ID,Name,Type,Classification,Owner,Partner,Status,Description,Key Specifications,Verification Method,Requirements,Safety Analysis,Standards
IF-28-11-F01,LH₂ Fill/Drain Line,Fluid,Critical,Tank Team (STK_ENG),Ground Support Equipment,Under Review,Vacuum-jacketed line for ground fill and drain operations,diameter: 25 mm; material: SS316L; insulation: Vacuum-jacketed with MLI,Test,"SYS-REQ-28-11-015, SYS-REQ-28-11-032",HAZ-28-11-003,"ISO 21013-1, ECSS-E-ST-32-10C"
IF-28-11-F02,LH₂ Feed Line to Propulsion,Fluid,Critical,Tank Team (STK_ENG),Propulsion System,Under Review,Main fuel feed line to propulsion system or fuel cell,diameter: 50 mm; material: SS316L; insulation: Vacuum-jacketed with MLI,Test,"SYS-REQ-28-11-016, SYS-REQ-28-11-033","HAZ-28-11-001, HAZ-28-11-003","ISO 21013-1, NASA-STD-5001B"
IF-28-11-F03,Vent and Relief Line,Fluid,Critical,Tank Team (STK_ENG),Vent System,Under Review,Pressure relief and emergency vent line,diameter: 20 mm; material: SS316L; relief_pressure_setpoint: 8 bar,Test + Analysis,"SYS-REQ-28-11-040, SAF-REQ-28-11-005","HAZ-28-11-002, HAZ-28-11-006","ISO 21013-2, ARP4761"
IF-28-11-S01,Tank Mounting Struts,Structural,Critical,Tank Team (STK_ENG),Vehicle Structure,Under Review,Six G-10 fiberglass struts for tank mounting and load transfer,"number_of_struts: 6; material: G-10 fiberglass composite; load_capacity_per_strut: 5000 N (axial), 2000 N (lateral)",Analysis + Test,"SYS-REQ-28-11-050, STR-REQ-28-11-010",HAZ-28-11-005,"NASA-STD-5001B, ECSS-E-ST-10-24C"
IF-28-11-S02,Vacuum Jacket Support Ring,Structural,Major,Tank Team (STK_ENG),Vehicle Structure,Under Review,Aluminum support ring for vacuum jacket outer shell,material: Aluminum 6061-T6; diameter: 1200 mm; thickness: 10 mm,Analysis + Inspection,STR-REQ-28-11-015,,ECSS-E-ST-32-10C
IF-28-11-E01,Level Sensor Array,Electrical,Critical,Tank Team (STK_ENG),Avionics System,Under Review,Four capacitance-based level sensors for LH₂ level measurement,number_of_sensors: 4; sensor_type: Capacitance-based; measurement_range: 0-100% tank height,Test,"INST-REQ-28-11-010, AVNC-REQ-24-10-005",,"DO-160G Section 16, IEC 60529 IP67"
IF-28-11-E02,Temperature Sensor Array,Electrical,Critical,Tank Team (STK_ENG),Avionics System,Under Review,Eight platinum RTD sensors for temperature monitoring,number_of_sensors: 8; sensor_type: Platinum RTD (Pt-100); measurement_range: -253°C to +85°C,Test,"INST-REQ-28-11-015, AVNC-REQ-24-10-010",,"IEC 60751, DO-160G Section 16"
IF-28-11-E03,Pressure Transducers,Electrical,Critical,Tank Team (STK_ENG),Avionics System,Under Review,Three piezoresistive pressure transducers,number_of_sensors: 3; sensor_type: Piezoresistive; measurement_range: 0-10 bar absolute,Test,"INST-REQ-28-11-020, SAF-REQ-28-11-010",HAZ-28-11-002,"DO-160G Section 16, ISO 21013-1"
IF-28-11-D01,Tank Control Unit CAN Bus,Data,Major,Tank Team (STK_ENG),Vehicle Control System,Under Review,CAN 2.0B bus for tank telemetry and commands,protocol: CAN 2.0B; baud_rate: 500 kbps; connector: D-sub 9-pin,Test,"DATA-REQ-28-11-005, CTRL-REQ-22-10-015",,"ISO 11898-1, SAE J1939"
IF-28-11-T01,MLI Vacuum Jacket Thermal Boundary,Thermal,Critical,Tank Team (STK_ENG),Vehicle Thermal Control,Under Review,Vacuum-jacketed MLI insulation boundary for cryogenic LH₂ storage,"insulation_system: 40-layer MLI (per INS-28-10-00-MLI-stack); reflector_material: Double-aluminized Mylar, 6.35 μm; spacer_material: Polyester netting",Test,"THRM-REQ-28-11-005, PERF-REQ-28-11-020",HAZ-28-11-004,"ISO 21013-1, ECSS-E-ST-32-10C"
